Class,Accession,Pangolin,Collection_Date,Nuc_Completeness,Host,Length,PangoVersions
0,MZ294543.1,B.1.1.519,2021-05-14,complete,Homo sapiens,29872,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ082857.1,B.1.1.519,2021-04-05,complete,Homo sapiens,29866,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK243474.1,B.1.1.519,2021-06-23,complete,Homo sapiens,29798,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK436490.1,B.1.1.519,2021-02-11,complete,Homo sapiens,29822,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ684854.1,B.1.1.519,2021-05-06,complete,Homo sapiens,29829,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW773370.1,B.1.1.519,2021-03-05,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PP604457.1,B.1.1.519,2021-02-15,complete,Homo sapiens,29749,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ076032.1,B.1.1.519,2021-04-02,complete,Homo sapiens,29898,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW698114.1,B.1.1.519,2021-02-15,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OL790176.1,B.1.1.519,2020-12-01,complete,Homo sapiens,29825,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ599856.1,B.1.1.519,2021-01-07,complete,Homo sapiens,29845,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ034237.1,B.1.1.519,2021-04-10,complete,Homo sapiens,29876,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK435930.1,B.1.1.519,2021-02-22,complete,Homo sapiens,29793,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OM129026.1,B.1.1.519,2021-02-08,complete,Homo sapiens,29875,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK435672.1,B.1.1.519,2021-02-24,complete,Homo sapiens,29798,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ404787.1,B.1.1.519,2021-05-03,complete,Homo sapiens,29830,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW631739.1,B.1.1.519,2021-02-05,complete,Homo sapiens,29845,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PQ801961.1,B.1.1.519,2021-02-22,complete,Homo sapiens,29797,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ927053.1,B.1.1.519,2021-04-24,complete,Homo sapiens,29833,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PP144579.1,B.1.1.519,2021-02-08,complete,Homo sapiens,29846,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW849134.1,B.1.1.519,2021-03-15,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW990709.1,B.1.1.519,2021-04-13,complete,Homo sapiens,29868,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ512614.1,B.1.1.519,2021-03-15,complete,Homo sapiens,29903,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW993621.1,B.1.1.519,2021-03-13,complete,Homo sapiens,29897,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK322810.1,B.1.1.519,2021-03-29,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ082718.1,B.1.1.519,2021-03-30,complete,Homo sapiens,29860,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ015060.1,B.1.1.519,2021-04-06,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW771828.1,B.1.1.519,2021-02-26,complete,Homo sapiens,29867,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ444498.1,B.1.1.519,2021-04-06,complete,Homo sapiens,29844,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW894287.1,B.1.1.519,2021-03-16,complete,Homo sapiens,29781,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW772436.1,B.1.1.519,2021-03-02,complete,Homo sapiens,29818,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ003816.1,B.1.1.519,2021-03-30,complete,Homo sapiens,29714,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW788823.1,B.1.1.519,2021-02-18,complete,Homo sapiens,29904,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK436087.1,B.1.1.519,2021-02-20,complete,Homo sapiens,29792,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW631914.1,B.1.1.519,2021-02-06,complete,Homo sapiens,29826,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PQ968096.1,B.1.1.519,2021-01-15,complete,Homo sapiens,29839,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ415346.1,B.1.1.519,2021-06-05,complete,Homo sapiens,29793,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PP144105.1,B.1.1.519,2021-03-03,complete,Homo sapiens,29846,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW893635.1,B.1.1.519,2021-03-10,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ245713.1,B.1.1.519,2021-02-27,complete,Homo sapiens,29844,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW993168.1,B.1.1.519,2021-03-12,complete,Homo sapiens,29873,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OL984097.1,B.1.1.519,2021,complete,Homo sapiens,29821,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ676138.1,B.1.1.519,2021-04-26,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ246467.1,B.1.1.519,2021-03-10,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ359710.1,B.1.1.519,2021-04-27,complete,Homo sapiens,29859,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ203243.1,B.1.1.519,2021-04-25,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW781418.1,B.1.1.519,2021-02-26,complete,Homo sapiens,29715,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ259182.1,B.1.1.519,2021-03-03,complete,Homo sapiens,29876,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OR319847.1,B.1.1.519,2021-04-20,complete,Homo sapiens,29819,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW805169.1,B.1.1.519,2021-03-09,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW680547.1,B.1.1.519,2021-02-11,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PX058737.1,B.1.1.519,2021-02-28,complete,Homo sapiens,29719,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ199212.1,B.1.1.519,2021-03-30,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW903212.1,B.1.1.519,2021-03-18,complete,Homo sapiens,29735,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW968499.1,B.1.1.519,2021-03-25,complete,Homo sapiens,29902,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW648298.1,B.1.1.519,2021-01-25,complete,Homo sapiens,29815,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ927050.1,B.1.1.519,2021-04-26,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW544904.1,B.1.1.519,2021-01-13,complete,Homo sapiens,29861,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ264376.1,B.1.1.519,2021-05-03,complete,Homo sapiens,29825,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK435806.1,B.1.1.519,2021-02-22,complete,Homo sapiens,29797,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PQ999307.1,B.1.1.519,2021-03-24,complete,Homo sapiens,29771,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PP123318.1,B.1.1.519,2021-01-22,complete,Homo sapiens,29846,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,ON316593.1,B.1.1.519,2021-04-20,complete,Homo sapiens,29865,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ000245.1,B.1.1.519,2021-03-24,complete,Homo sapiens,29713,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ414418.1,B.1.1.519,2021-03-31,complete,Homo sapiens,29899,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW868567.1,B.1.1.519,2021-03-13,complete,Homo sapiens,29827,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ245687.1,B.1.1.519,2021-03-06,complete,Homo sapiens,29837,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ082698.1,B.1.1.519,2021-04-07,complete,Homo sapiens,29866,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ207138.1,B.1.1.519,2021-01-04,complete,Homo sapiens,29804,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ257454.1,B.1.1.519,2021-03-22,complete,Homo sapiens,29886,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW930967.1,B.1.1.519,2021-03-27,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ390453.1,B.1.1.519,2021-05-21,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK436405.1,B.1.1.519,2021-02-22,complete,Homo sapiens,29866,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OL984111.1,B.1.1.519,2021-05-27,complete,Homo sapiens,29814,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ082848.1,B.1.1.519,2021-04-01,complete,Homo sapiens,29867,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ202403.1,B.1.1.519,2021-04-06,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ023505.1,B.1.1.519,2021-03-28,complete,Homo sapiens,29873,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ023877.1,B.1.1.519,2021-04-01,complete,Homo sapiens,29891,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ203291.1,B.1.1.519,2021-04-23,complete,Homo sapiens,29837,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OM757608.1,B.1.1.519,2021-03-15,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW778429.1,B.1.1.519,2021-02-20,complete,Homo sapiens,29902,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW829586.1,B.1.1.519,2021-02-22,complete,Homo sapiens,29902,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW777446.1,B.1.1.519,2021-02-18,complete,Homo sapiens,29903,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OR307054.1,B.1.1.519,2021-03-21,complete,Homo sapiens,29821,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK435731.1,B.1.1.519,2021-02-16,complete,Homo sapiens,29799,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK548706.1,B.1.1.519,2021-05-10,complete,Homo sapiens,29849,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ082732.1,B.1.1.519,2021-03-31,complete,Homo sapiens,29837,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW689816.1,B.1.1.519,2021-02-05,complete,Homo sapiens,29791,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK436473.1,B.1.1.519,2021-02-11,complete,Homo sapiens,29822,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW960441.1,B.1.1.519,2021-03-25,complete,Homo sapiens,29725,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW666917.1,B.1.1.519,2021-01-25,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW868467.1,B.1.1.519,2021-03-15,complete,Homo sapiens,29830,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK436401.1,B.1.1.519,2021-02-21,complete,Homo sapiens,29866,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ267375.1,B.1.1.519,2021-02-05,complete,Homo sapiens,29792,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PV001805.1,B.1.1.519,2021-02-08,complete,Homo sapiens,29803,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ075417.1,B.1.1.519,2021-04-06,complete,Homo sapiens,29896,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK435368.1,B.1.1.519,2021-02-14,complete,Homo sapiens,29822,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ779670.1,B.1.1.519,2021-02-19,complete,Homo sapiens,29867,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW967090.1,B.1.1.519,2021-03-18,complete,Homo sapiens,29900,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ278252.1,B.1.1.519,2021-05-03,complete,Homo sapiens,29837,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW993808.1,B.1.1.519,2021-03-13,complete,Homo sapiens,29868,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ579155.1,B.1.1.519,2021-04-26,complete,Homo sapiens,29903,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK435779.1,B.1.1.519,2021-02-20,complete,Homo sapiens,29798,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ203421.1,B.1.1.519,2021-04-21,complete,Homo sapiens,29833,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ211654.1,B.1.1.519,2021-04-09,complete,Homo sapiens,29902,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OQ757856.1,B.1.1.519,2021-02-12,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OM068410.1,B.1.1.519,2021-03-28,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OZ061850.1,B.1.1.519,2021-05-06,complete,Homo sapiens,29798,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW965991.1,B.1.1.519,2021-03-22,complete,Homo sapiens,29885,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW771904.1,B.1.1.519,2021-02-28,complete,Homo sapiens,29903,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,ON116268.1,B.1.1.519,2021-04-11,complete,Homo sapiens,29795,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ323719.1,B.1.1.519,2021-05-05,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW739470.1,B.1.1.519,2021-01-26,complete,Homo sapiens,29804,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ131462.1,B.1.1.519,2021-04-16,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ074633.1,B.1.1.519,2021-04-02,complete,Homo sapiens,29899,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW777874.1,B.1.1.519,2021-02-15,complete,Homo sapiens,29872,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK322798.1,B.1.1.519,2021-01-26,complete,Homo sapiens,29781,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ202159.1,B.1.1.519,2021-04-03,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW669734.1,B.1.1.519,2021-02-07,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OM109555.1,B.1.1.519,2021-03-27,complete,Homo sapiens,29871,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PP608203.1,B.1.1.519,2021-03-17,complete,Homo sapiens,29746,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW733584.1,B.1.1.519,2021-02-23,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW805110.1,B.1.1.519,2021-03-09,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW666183.1,B.1.1.519,2021-01-31,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ246573.1,B.1.1.519,2021-03-25,complete,Homo sapiens,29857,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,ON062684.1,B.1.1.519,2021-03-08,complete,Homo sapiens,29831,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ084336.1,B.1.1.519,2021-04-05,complete,Homo sapiens,29876,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ202541.1,B.1.1.519,2021-04-09,complete,Homo sapiens,29833,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ579328.1,B.1.1.519,2021-02-10,complete,Homo sapiens,29903,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW989074.1,B.1.1.519,2021-04-05,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PP120515.1,B.1.1.519,2021-02-17,complete,Homo sapiens,29846,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK217612.1,B.1.1.519,2021-04-03,complete,Homo sapiens,29902,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ927062.1,B.1.1.519,2021-04-26,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ202417.1,B.1.1.519,2021-04-08,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ023277.1,B.1.1.519,2021-03-28,complete,Homo sapiens,29873,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW805032.1,B.1.1.519,2021-03-08,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ023023.1,B.1.1.519,2021-03-28,complete,Homo sapiens,29902,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW848300.1,B.1.1.519,2021-03-13,complete,Homo sapiens,29827,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ206972.1,B.1.1.519,2021-03-04,complete,Homo sapiens,29860,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK436146.1,B.1.1.519,2021-02-11,complete,Homo sapiens,29823,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ181756.1,B.1.1.519,2021-04-28,complete,Homo sapiens,29714,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ462486.1,B.1.1.519,2021-04-20,complete,Homo sapiens,29805,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OM245349.1,B.1.1.519,2021-05-06,complete,Homo sapiens,29873,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ373867.1,B.1.1.519,2021-03-15,complete,Homo sapiens,29853,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW849158.1,B.1.1.519,2021-03-11,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW763874.1,B.1.1.519,2021-03-02,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW733251.1,B.1.1.519,2021-02-22,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ402062.1,B.1.1.519,2021-05-17,complete,Homo sapiens,29829,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ473578.1,B.1.1.519,2021-04-13,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW725795.1,B.1.1.519,2021-02-17,complete,Homo sapiens,29819,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW894379.1,B.1.1.519,2021-03-22,complete,Homo sapiens,29834,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ927471.1,B.1.1.519,2021-05-05,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ499457.1,B.1.1.519,2021-02-08,complete,Homo sapiens,29799,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK021672.1,B.1.1.519,2021-05-07,complete,Homo sapiens,29784,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PP603464.1,B.1.1.519,2021-01-30,complete,Homo sapiens,29776,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW880604.1,B.1.1.519,2021-03-23,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ414332.1,B.1.1.519,2021-06-04,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ321290.1,B.1.1.519,2021-05-13,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ260682.1,B.1.1.519,2021-04-14,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW731194.1,B.1.1.519,2021-02-03,complete,Homo sapiens,29867,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PQ617891.1,B.1.1.519,2022-06-19,complete,Homo sapiens,29804,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK435850.1,B.1.1.519,2021-02-13,complete,Homo sapiens,29820,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
